EXPOCODE,Cruise_ID,Station_ID,Cast_number,Niskin_ID,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Latitude,Longitude,CTDPRES,Depth,CTDTEMP_ITS90,CTDSAL_PSS78,DIC,DIC_flag,TA,TA_flag,Silicate,Silicate_flag,Phosphate,Phosphate_flag,Nitrate,Nitrate_flag,Nitrite,Nitrite_flag,Nitrate_and_Nitrite,Nitrate_and_Nitrite_flag,Ammonium,Ammonium_flag,pH_initial_talk
06SN20201204,SO279,4,1,15,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,197.6710598244436,196.20540432140504,17.15100355840646,36.34201466576643,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,4,1,16,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,89.13178391959786,88.49943989176651,19.67729431774256,36.68155316969455,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,4,1,17,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,66.08666699064507,65.62107204470881,20.39694461790792,36.80762338719469,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,4,1,18,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,90.51546439845676,89.8729933356716,19.717101122413165,36.68127332514906,2117.4185621610213,2.0,2397.1282575302266,2.0,0.6910772659762082,2.0,0.0139314302589429,2.0,0.4096717737614783,2.0,0.0575491301236361,2.0,0.4672209038851146,2.0,0.2248317710762398,2.0,8.070632073534483
06SN20201204,SO279,4,1,19,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,64.93666138540904,64.47968459837882,20.45193002947678,36.81176121960208,2109.4040583292744,2.0,2408.5102948114218,2.0,0.5086266358373552,2.0,0.0072052159441196,2.0,0.0497410516351008,2.0,0.0214569242347493,2.0,0.0711979758698502,3.0,0.3808604051668019,2.0,8.092787003487937
06SN20201204,SO279,4,1,20,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,52.95873626373624,52.58775824175818,20.512548901098896,36.82817087912088,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,4,1,21,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,43.154990628253984,42.853491496008246,20.53027696980212,36.83438651509896,2109.288481073812,2.0,2408.729124721612,2.0,0.5149575539049136,2.0,0.0110478126831361,2.0,0.0555920086601895,2.0,0.0287713027276419,2.0,0.0843633113878314,3.0,0.4379089804986859,2.0,8.100950688487043
06SN20201204,SO279,4,1,22,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,27.89976530612246,27.705989795918367,20.573420408163265,36.8484224489796,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,4,1,23,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,20.868643190298528,20.72397294776125,20.57782511660443,36.85064232742525,2105.206328319497,2.0,2409.7038851354523,2.0,0.5344570883166001,2.0,0.0091263440970613,2.0,0.0487643328756021,2.0,0.0336473896841655,2.0,0.0824117225597676,2.0,0.5276300817140158,2.0,8.09829399975292
06SN20201204,SO279,4,1,24,2020,12,16,05:17:00,31.03111111111111,-29.53305555555556,12.54010309278352,12.453541237113395,20.57849278350514,36.85126005154639,2102.69317468305,2.0,2410.650628069477,2.0,0.5490861370135527,3.0,0.0115280083230887,2.0,0.026332727707577,2.0,0.011215791431005,2.0,0.0375485191385821,2.0,0.2716172098726011,2.0,8.101144458863363
06SN20201204,SO279,5,1,1,2020,12,18,11:50:00,31.139166666666668,-34.07083333333333,4434.174696969696,4358.208575757576,2.490069696969697,34.908728787878786,2195.8442484465427,2.0,2347.4276477012327,2.0,43.528646802663154,2.0,1.344946520182574,3.0,18.761733118432893,3.0,0.012208629270955,2.0,18.773941747703844,2.0,0.195826413506119,2.0,7.827366993039361
06SN20201204,SO279,5,1,2,2020,12,18,11:50:00,31.139166666666668,-34.07083333333333,4434.423967741936,4358.451354838709,2.4901693548387103,34.90865806451613,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,5,1,3,2020,12,18,11:50:00,31.139166666666668,-34.07083333333333,4206.964356117678,4136.96428728887,2.488189961145045,34.91109407659958,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
